invst_type	icode	iunitbuyprice	iquantity
3	KRW-BTC	37091160	0.00176972
3	KRW-XLM	202	143.7749225
3	KRW-XRP	276	105.2445074
3	KRW-ETH	1178268	0.02461917
3	KRW-BTG	10806	2.68357965
3	KRW-EOS	2982	9.72358261
1	050090	1167	94
1	126640	1019	102
1	013520	2387	46
1	092300	3931	27
1	005389	67557	2
1	004310	5018	21
1	170030	3196	20
1	000720	30754	4
1	220630	3298	38
1	054920	3020	18
1	009460	1190	57
1	130660	4226	26
1	008930	59386	2
1	014790	5512	20
1	256150	19819	6
1	011500	4369	13
1	030520	18143	5
1	037230	2723	20
1	021650	2991	36
1	161890	45729	3
1	023760	676	162
1	017960	7650	14
1	006200	913	119
1	015760	33510	3
1	123890	5547	19
1	066130	5976	18
1	000080	44484	3
1	003380	14837	7
1	128660	2570	42
1	137400	6112	10
1	002230	6162	17
1	131390	16255	7
1	075130	6227	17
1	093380	3550	31
1	119500	4980	22
1	047310	4698	13
1	037030	4863	22
1	037070	6067	11
1	084730	8582	7
1	091810	8223	13
1	033830	722	81
1	131970	32773	4
1	095610	23023	5
1	015890	5933	18
1	014580	3406	32
1	039490	108388	1
1	016600	901	123
1	126600	4109	26
1	950160	21300	5
1	120115	25215	4
1	183300	24700	2
1	036690	5805	18
1	101670	2428	45
1	047770	3076	35
1	145270	966	117
1	089150	2642	21
1	047820	1460	40
1	066360	3525	30
1	100250	2816	39
1	035000	8354	13
1	013870	5021	21
1	053050	1839	59
1	072020	18340	6
1	034940	5561	19
1	036420	62700	1
1	208140	3992	27
1	234920	6599	16
1	020760	5205	22
1	013360	1663	65
1	037330	1644	34
1	047560	6321	17
1	065440	1294	85
1	067920	4839	22
1	039020	3828	28
1	084370	20197	5
1	000225	8584	8
1	024800	4592	23
1	032620	4756	11
1	241690	10070	10
1	086390	17511	6
1	203450	2955	37
1	033270	23428	3
1	006980	3663	30
1	010050	837	131
1	033660	13477	8
1	226400	3310	33
1	052420	2126	26
1	045060	3922	14
1	265560	13011	4
1	036560	8270	13
1	014440	4885	22
1	033310	2516	24
1	037950	2779	39
1	066970	20048	3
1	247540	60257	1
1	021080	2101	52
1	045660	9367	6
1	058610	7442	14
1	060540	2471	44
1	031330	1831	60
1	161000	8296	13
1	131370	3718	15
1	050860	3913	28
1	036010	5778	19
1	149950	7604	14
1	187270	4407	25
1	055550	30380	3
1	138070	8386	13
1	002700	1650	66
1	011930	2272	49
1	033170	1468	75
1	017550	1942	32
1	33637K	17643	6
1	036630	663	166
1	100700	4655	23
1	011560	9895	11
1	148150	34707	3
1	015750	3929	15
1	037350	7594	14
1	004410	262	419
1	038070	12932	8
1	046390	1601	69
1	010960	4606	23
1	017480	5210	20
1	002290	3785	29
1	054540	3693	29
1	068290	19058	5
1	009155	65716	1
1	530031	1680	45
1	111870	3788	29
1	014710	6993	15
1	003960	22841	5
1	003850	10199	5
1	001340	3909	28
1	086040	7118	8
1	008420	3813	28
1	009200	3717	29
1	001810	3404	32
1	012700	7095	15
1	060240	7383	15
1	286940	42124	2
1	215100	2187	26
1	026890	4177	13
1	033130	2366	46
1	043360	3411	31
1	066670	4275	25
1	016740	3623	30
1	034020	15880	7
1	000020	11538	5
1	030720	9261	11
1	088910	4218	26
1	060380	3526	30
1	001520	2118	52
1	033500	9947	11
1	026960	19096	6
1	007590	7856	14
1	075970	2637	41
1	005160	2898	38
1	021040	1217	88
1	016090	2500	44
1	005880	2682	40
1	003495	14153	3
1	003310	1904	57
1	042660	33915	3
1	009320	2827	38
1	003545	9354	11
1	020180	1284	85
1	027830	2566	42
1	025440	841	110
1	000490	9191	11
1	35320K	5939	10
1	00806K	5937	6
1	032190	8073	13
1	251270	127338	1
1	002355	2507	43
1	005720	7411	14
1	007390	13770	8
1	042420	13396	8
1	051490	4899	11
1	039860	9119	12
1	000270	34158	2
1	035460	3116	35
1	014530	3758	29
1	060480	4144	20
1	043650	6270	17
1	053270	1929	57
1	090150	2806	39
1	017900	2796	39
1	002140	3420	31
1	012205	8507	12
1	024910	1402	39
1	094480	4235	25
1	078890	9530	11
1	040300	2440	45
1	246690	3448	31
1	048770	5701	19
1	006125	17289	4
1	001740	4898	22
1	123700	3072	35
1	002360	1642	67
1	099220	1778	30
1	019550	878	125
1	091340	4638	22
1	008260	3507	31
1	037560	9791	11
1	034220	16207	7
1	060370	4928	22
1	058850	2575	42
1	036030	5829	18
1	252670	2925	83
1	058400	1090	51
1	052900	1289	85
1	151860	4225	25
1	119650	5084	11
1	036670	9872	11
1	001065	27634	3
1	175330	6294	17
1	003560	2154	51
1	036640	4460	24
1	001250	4241	25
1	130500	3293	17
1	155660	6123	18
1	004840	8007	13
1	37550K	38535	1
1	000215	38459	1
1	016610	5009	22
1	011150	3061	36
1	095570	6220	17
2	BE	24.5799	5
2	DOCU	221.18	1
2	U	144	1
2	UBER	50.025	7
