invst_type	icode	iquantity	iunitbuyprice	kforeverholdyn
1	000020	5	11500	1
1	000060	7	14802	0
1	000080	3	44401	0
1	000215	1	38351	0
1	000225	8	8557	1
1	000270	2	33951	1
1	000490	11	9170	0
1	000720	4	30650	0
1	001065	3	27551	1
1	001120	4	27154	0
1	001250	25	4235	0
1	001340	28	3900	0
1	001520	52	2115	0
1	001740	22	4885	0
1	001810	32	3395	0
1	002140	31	3410	0
1	002230	17	6150	0
1	002290	29	3775	0
1	002355	43	2500	0
1	002360	67	1640	0
1	002700	66	1645	0
1	002790	2	62809	0
1	003310	57	1900	0
1	003380	7	14817	0
1	003495	3	14050	1
1	003545	11	9330	0
1	003560	51	2150	0
1	003850	5	10150	1
1	003960	5	22801	0
1	004310	21	5000	0
1	004410	419	262	0
1	004840	13	7990	0
1	005160	38	2890	0
1	005389	2	67303	0
1	005720	14	7400	0
1	005880	40	2675	0
1	006125	4	17152	1
1	006200	119	911	0
1	006980	30	3655	0
1	007390	8	13750	0
1	007590	14	7840	0
1	00806K	6	5916	0
1	008260	31	3500	0
1	008420	28	3805	0
1	008930	2	59200	0
1	009155	1	65402	0
1	009200	29	3710	0
1	009320	38	2820	0
1	009460	57	1185	1
1	010050	131	836	0
1	010960	23	4595	0
1	011150	36	3050	0
1	011500	13	4330	1
1	011560	11	9880	0
1	011930	49	2265	0
1	012205	12	8490	0
1	012700	15	7080	0
1	013360	65	1660	0
1	013520	46	2380	0
1	013870	21	5000	0
1	014440	22	4875	0
1	014530	29	3750	0
1	014580	32	3395	0
1	014710	15	6980	0
1	014790	20	5500	0
1	015750	15	3910	1
1	015760	3	33451	0
1	015890	18	5920	0
1	016090	44	2495	0
1	016600	123	900	0
1	016610	22	4995	0
1	016740	30	3615	0
1	017480	20	5200	0
1	017550	32	1930	1
1	017900	39	2790	0
1	017960	14	7621	0
1	019550	125	875	0
1	020180	85	1280	0
1	020760	22	5192	0
1	021040	88	1215	0
1	021080	52	2095	0
1	021650	36	2980	0
1	023760	162	675	0
1	024800	23	4585	0
1	024910	39	1395	1
1	025440	110	838	0
1	026890	13	4150	1
1	026960	3	19000	1
1	027830	42	2560	0
1	02826K	1	119517	0
1	030520	5	18100	0
1	030720	11	9239	0
1	031330	60	1825	0
1	032190	13	8040	0
1	032620	11	4735	1
1	033130	46	2360	0
1	033170	75	1465	0
1	033270	3	23301	1
1	033310	24	2485	1
1	033500	11	9920	0
1	033660	8	13450	0
1	033830	81	720	1
1	034020	7	15850	0
1	034220	7	16150	0
1	034940	19	5550	0
1	035000	13	8340	0
1	035460	35	3110	0
1	036010	19	5760	0
1	036030	18	5810	0
1	036420	1	62602	0
1	036560	13	8250	0
1	036630	166	662	0
1	036640	24	4445	0
1	036670	11	9849	0
1	036690	18	5790	0
1	037030	22	4848	0
1	037070	11	6030	1
1	037230	20	2710	1
1	037330	34	1635	1
1	037350	14	7580	0
1	037560	11	9780	0
1	037950	39	2775	0
1	038070	8	12900	0
1	039020	28	3820	0
1	039490	1	108003	0
1	039860	12	9100	0
1	040300	45	2430	0
1	042420	8	13350	0
1	042660	3	33851	0
1	043360	31	3405	0
1	043650	17	6250	0
1	045060	14	3910	1
1	045660	6	9291	1
1	046390	35	1590	1
1	047310	13	4675	1
1	047560	17	6300	0
1	047770	35	3070	0
1	047820	40	1455	1
1	048770	19	5690	0
1	050090	94	1165	0
1	050860	28	3905	0
1	051490	11	4870	1
1	052420	26	2115	1
1	052900	85	1285	0
1	053050	59	1835	0
1	053270	57	1920	0
1	054540	29	3680	0
1	054920	18	2997	1
1	055550	3	30301	0
1	058400	51	1085	1
1	058610	14	7421	0
1	058850	42	2570	0
1	060240	15	7371	0
1	060370	22	4915	0
1	060380	30	3515	0
1	060480	20	4135	0
1	060540	44	2465	0
1	065440	85	1290	0
1	066130	18	5950	0
1	066360	30	3520	0
1	066670	25	4265	0
1	066970	3	19850	1
1	067920	22	4825	0
1	068290	5	19000	0
1	072020	6	18300	0
1	075130	17	6210	0
1	075970	41	2630	0
1	078890	11	9501	0
1	084370	5	20100	0
1	084730	7	8540	1
1	086040	8	7091	1
1	086390	6	17450	0
1	088910	26	4210	0
1	089150	21	2630	1
1	090150	39	2795	0
1	091340	22	4625	0
1	091810	13	8217	0
1	092300	27	3920	0
1	093380	31	3540	0
1	094480	25	4225	0
1	095570	17	6210	0
1	095610	5	22950	0
1	099220	30	1770	1
1	100250	39	2810	0
1	100700	23	4640	0
1	101670	45	2425	0
1	111870	29	3785	0
1	119500	22	4970	0
1	119650	11	5060	1
1	120115	4	25151	0
1	123700	35	3062	0
1	123890	19	5537	0
1	126600	26	4095	0
1	126640	102	1015	0
1	128660	42	2565	0
1	130500	17	3275	1
1	130660	26	4215	0
1	131370	15	3695	1
1	131390	7	16200	0
1	131970	4	32651	0
1	137400	10	6050	1
1	138070	13	8370	0
1	145270	117	962	0
1	148150	3	34655	0
1	149950	7	7560	1
1	151860	25	4210	0
1	155660	18	6110	0
1	161000	13	8271	0
1	161890	3	45601	0
1	170030	20	3175	1
1	175330	17	6280	0
1	183300	2	24553	1
1	187270	25	4400	0
1	203450	37	2945	0
1	208140	27	3985	0
1	215100	26	2175	1
1	220630	38	3290	0
1	226400	33	3300	0
1	234920	16	6590	0
1	241690	20	5275	0
1	246690	31	3440	0
1	247540	1	59802	1
1	251270	1	127005	0
1	252670	83	2925	0
1	256150	6	19750	0
1	265560	4	12950	1
1	286940	2	42028	0
1	33637K	6	17600	0
1	35320K	10	5916	0
1	37550K	1	38351	0
1	950160	5	21280	0
1	530031	45	1680	0
3	KRW-BTC	0.00176972	37091160	1
3	KRW-XLM	143.7749225	202	1
3	KRW-XRP	105.2445074	276	1
3	KRW-ETH	0.02461917	1178268	1
3	KRW-BTG	2.68357965	10806	1
3	KRW-EOS	9.72358261	2982	1
2	BE	5	24.5799	1
2	DOCU	1	221.18	1
2	U	1	144	1
2	UBER	7	50.025	1
2	CRM	1	240.27	1
2	PLTR	9	26.5211	1
2	QS	7	54.6443	1
