invst_type	icode	iunitbuyprice	iquantity	kforeverholdyn
3	KRW-DOGE	72.8	930.1393531	1
3	KRW-XRP	473	272.4685877	1
3	KRW-BTG	22987	2.80591867	1
3	KRW-BTC	50594076	0.00327359	1
3	KRW-ETH	1769535	0.07290502	1
3	KRW-EOS	4198	15.36599299	1
3	KRW-BCH	590600	0.10554154	1
3	KRW-XLM	360	178.9538424	1
3	KRW-GAS	23127	5.18877071	0
3	KRW-BTT	11.24	10677.00	0
3	KRW-CHZ	760	157.9164944	0
3	KRW-ETC	26730	2.24466891	1
3	KRW-SC	68.05	1763.41	0
3	KRW-MED	187	642.9047302	0
3	KRW-DAWN	6750	10.79451851	0
2	BE	24.5	5	0
2	CRM	240.46	1	0
2	DOCU	221.3	1	0
2	PLTR	26.5	9	0
2	QS	54.6	7	0
2	U	129.07	2	0
2	UBER	50.07	7	0
2	VLDR	17.44	9	0
3	KRW-AXS	10640	10.9962406	0
3	KRW-STX	2880	40.625	0
3	KRW-DKA	327	357.7981651	0
3	KRW-FLOW	43870	2.66697059	0
1	000020	11538	5	1
1	000060	14847	7	0
1	000080	44488	3	0
1	000215	38471	1	1
1	000225	4818	16	1
1	000270	34156	2	1
1	000490	9196	11	0
1	000720	30771	4	0
1	001065	27658	3	0
1	001120	27228	4	0
1	001250	4241	25	0
1	001340	3913	28	0
1	001520	2118	52	0
1	001740	4898	22	0
1	001810	3404	32	0
1	002140	3420	31	0
1	002150	8703	12	0
1	002230	6164	17	0
1	002290	3788	29	0
1	002355	2508	43	0
1	002360	1642	67	0
1	002700	1650	66	0
1	002790	62976	2	0
1	003310	1905	57	0
1	003380	14839	7	0
1	003495	14146	3	1
1	003545	9367	11	0
1	003560	2155	51	0
1	003850	10205	5	1
1	003960	22847	5	0
1	004310	5018	21	0
1	004410	262	419	0
1	004840	8007	13	0
1	004980	11127	10	0
1	005160	2899	38	0
1	005389	67549	2	0
1	005610	73388	2	0
1	005720	7412	14	0
1	005880	2682	40	0
1	006125	17257	4	1
1	006200	914	119	0
1	006980	36648	3	0
1	007390	13775	8	0
1	007590	7857	14	0
1	00806K	5954	6	1
1	008260	3509	31	0
1	008420	3816	28	0
1	008930	59381	2	0
1	009155	65693	1	1
1	009200	3717	29	0
1	009320	2826	38	0
1	009460	1191	57	1
1	009540	129350	1	0
1	010050	838	131	0
1	010620	66775	2	0
1	010960	4607	23	0
1	011150	3061	36	0
1	011500	4370	13	1
1	011560	9898	11	0
1	011930	2273	49	0
1	012205	8509	12	0
1	012700	7101	15	0
1	013360	1665	65	0
1	013520	2384	33	1
1	013870	5019	21	0
1	014440	4886	22	0
1	014530	3762	29	0
1	014580	3406	32	0
1	014710	6995	15	0
1	014790	5514	20	0
1	015750	3926	15	1
1	015760	33509	3	0
1	015890	5937	18	0
1	016090	2501	44	0
1	016600	901	123	0
1	016610	5011	22	0
1	016740	3626	30	0
1	017480	5213	20	0
1	017550	1946	32	1
1	017900	2796	39	0
1	017960	7650	14	0
1	019550	880	63	1
1	020180	1284	85	0
1	020760	5204	22	0
1	021040	1217	88	0
1	021080	2109	26	1
1	021650	2992	36	0
1	023760	676	162	0
1	024800	4594	23	0
1	024910	1403	39	1
1	025440	841	110	0
1	026890	4189	13	1
1	026960	19079	3	1
1	027830	2570	21	1
